time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
0.6588,-0.07961,0.00658,9.90121
0.6631,-0.03653,0.00658,9.89642
0.6675,-0.12749,-0.01735,9.93474
0.6724,-0.08919,0.03052,9.88206
0.6766,-0.09396,0.04488,9.91080
0.6812,-0.05568,0.00658,9.96825
0.6986,-0.07961,0.09276,9.90121
0.6987,-0.09396,0.04488,9.89642
0.6987,-0.05568,0.00658,9.91557
0.6987,-0.10834,0.04008,9.92516
0.7030,-0.10834,0.07361,9.92036
0.7065,-0.08919,0.02573,9.96825
0.7104,-0.09875,0.06882,9.91557
0.7151,-0.06525,0.01137,9.94910
0.7190,-0.10355,0.01614,9.95389
0.7232,-0.05089,0.03052,9.92995
0.7282,-0.10834,0.05925,9.91557
0.7324,-0.09396,-0.02693,9.95389
0.7379,-0.07002,0.04008,9.89163
0.7411,-0.08440,0.00658,9.83896
0.7455,-0.09875,0.02573,9.99698
0.7509,-0.08440,0.07361,10.12148
0.7550,-0.13707,0.08319,10.05444
0.7597,-0.08440,0.08319,9.96347
0.7637,-0.08440,0.07840,9.97304
0.7680,-0.10834,0.04008,9.97304
0.7722,-0.04610,0.02573,9.86769
0.7770,-0.08440,0.02573,9.75278
0.7812,-0.05568,-0.02214,9.80545
0.7854,-0.10355,0.04008,9.82460
0.7902,-0.09396,0.03052,9.87727
0.7950,-0.02695,-0.03172,9.85812
0.7995,-0.13707,0.04008,9.87248
0.8033,-0.09875,0.04967,9.90121
0.8072,-0.11313,0.05925,9.98262
0.8111,-0.09875,0.06404,9.94431
0.8247,-0.10355,0.04008,9.94431
0.8248,-0.10355,0.06404,9.93951
0.8252,-0.13228,0.06882,9.97783
0.8310,-0.04610,0.03052,9.92516
0.8331,-0.07961,0.03052,9.90601
0.8376,-0.07481,0.07361,9.82460
0.8421,-0.07961,-0.01257,9.86290
0.8465,-0.09396,-0.05566,9.92516
0.8509,-0.05089,0.00179,9.86769
0.8550,-0.08919,-0.02693,9.98741
0.8594,-0.09396,0.01614,9.99698
0.8639,-0.09396,0.05446,10.00177
0.8684,-0.08440,0.04008,9.97783
0.8726,-0.10355,0.04008,9.97783
0.8771,-0.10355,0.09276,9.92995
0.8815,-0.07961,0.06404,10.02092
0.8859,-0.10834,0.05446,9.99219
0.8903,-0.13707,0.02094,9.94431
0.8950,-0.12749,0.02094,9.92516
0.8995,-0.09396,-0.01257,9.88206
0.9038,-0.05568,-0.06046,9.85812
0.9079,-0.10834,0.04008,9.81024
0.9125,-0.07481,0.00658,9.90601
0.9167,-0.07002,0.01137,9.91080
0.9219,-0.07002,-0.00301,9.94431
0.9257,-0.10834,0.04967,9.93951
0.9312,-0.06525,0.08798,9.96347
0.9357,-0.10834,0.02573,9.98262
0.9402,-0.11313,-0.01735,10.03529
0.9434,-0.12749,0.05925,9.97304
0.9560,-0.05089,0.01614,9.92516
0.9560,-0.13707,0.03052,9.89163
0.9644,-0.07481,0.02573,9.96825
0.9644,-0.09875,0.02573,9.79108
0.9648,-0.11313,0.04008,9.89163
0.9718,-0.08919,0.03052,9.92995
0.9743,-0.07481,0.01137,9.82939
0.9779,-0.08919,0.01614,9.87727
0.9822,-0.05568,0.07361,9.92516
0.9865,-0.07961,0.07361,9.94431
0.9929,-0.09875,0.07361,9.92516
0.9957,-0.07002,0.02094,9.96825
1.0018,-0.10834,0.04967,9.93951
1.0044,-0.11313,0.03052,9.92995
1.0093,-0.07481,0.07840,9.91080
1.0137,-0.12749,0.08319,9.92036
1.0185,-0.07481,0.06882,9.92516
1.0226,-0.08440,0.01137,9.88206
1.0271,-0.08440,-0.00301,9.92036
1.0390,-0.05089,0.04008,9.84854
1.0390,-0.04610,0.02573,9.95389
1.0403,-0.13228,-0.00301,9.95868
1.0440,-0.07002,0.00179,9.98262
1.0500,-0.07002,0.03052,9.96825
1.0532,-0.04131,0.03052,9.94431
1.0580,-0.06525,0.02094,9.92516
1.0640,-0.04131,0.04967,9.94431
1.0667,-0.07002,0.02573,9.92995
1.0728,-0.06047,0.02094,9.94910
1.0982,-0.06525,0.02573,10.01135
1.0983,-0.10355,0.05446,9.92516
1.0984,-0.03653,0.01614,9.87727
1.0984,-0.10834,0.01137,9.89163
1.0984,-0.01259,-0.04129,9.93951
1.0985,-0.03174,0.02094,9.88206
1.1023,-0.07481,-0.04129,9.91557
1.1056,-0.07002,0.00658,9.92995
1.1101,-0.09396,-0.00301,9.93951
1.1145,-0.09396,0.04967,9.92036
1.1189,-0.08919,0.00179,9.91557
1.1262,-0.11313,0.00658,9.94431
1.1283,-0.10355,0.03052,9.91557
1.1316,-0.10834,0.01137,9.92516
1.1364,-0.01736,-0.01257,9.90601
1.1405,-0.06047,0.03531,9.91557
1.1449,-0.07961,0.05925,9.95868
1.1509,-0.03653,-0.03172,9.92516
1.1547,-0.09396,0.01137,9.99219
1.1588,-0.08440,-0.05087,9.89642
1.1630,-0.06047,0.00658,9.85812
1.1681,-0.08440,0.00179,9.94431
1.1718,-0.07481,0.07361,9.96347
1.1760,-0.13707,0.04488,9.94431
1.1802,-0.10834,0.01137,9.99219
1.1849,-0.12749,0.04008,9.95868
1.1907,-0.07002,-0.00301,9.95868
1.1946,-0.07961,0.03531,10.03529
1.1999,-0.08440,-0.00780,9.95389
1.2029,-0.07002,0.00658,9.93951
1.2198,-0.09875,0.01614,9.92995
1.2198,-0.07002,-0.02693,9.94431
1.2199,-0.10834,-0.01735,9.92516
1.2199,-0.07481,0.04967,9.89642
1.2265,-0.05568,0.04488,9.87248
1.2279,-0.04131,0.07840,9.83896
1.2354,-0.06525,0.00658,9.92036
1.2368,-0.09396,0.05446,9.92516
1.2413,-0.10834,0.02573,9.93951
1.2455,-0.08919,0.01137,9.97783
1.2508,-0.12270,0.04488,9.90121
1.2549,-0.08440,0.04488,9.86769
1.2595,-0.09875,0.00179,9.95868
1.2640,-0.14186,0.03531,9.90601
1.2685,-0.23283,0.04488,9.74799
1.2727,-0.19452,0.07840,9.92036
1.2773,-0.11790,0.00179,9.88686
1.2814,-0.10834,0.01614,9.92036
1.2857,-0.04610,0.04008,9.91557
1.2904,-0.14664,-0.08440,9.87248
1.2947,-0.67337,-0.31903,9.88206
1.2993,-0.91278,-0.45789,9.88206
1.3035,-0.84096,-0.72604,9.93474
1.3083,-0.55365,-0.89842,9.87727
1.3125,-0.54408,-0.90321,9.91080
1.3167,-0.41959,-0.71167,9.91557
1.3338,-0.37170,-0.58717,9.97304
1.3338,-0.18974,-0.41000,9.97304
1.3339,-0.40042,-0.49620,9.93474
1.3383,-0.06047,-0.66379,9.96347
1.3404,-0.57759,-0.72604,9.96347
1.3422,-0.77393,-0.86969,9.97783
1.3477,-0.35733,-1.16656,9.91557
1.3519,-0.74040,-1.24318,10.00177
1.3553,-0.56802,-1.36290,9.87727
1.3597,-0.45309,-1.22403,9.90121
1.3642,-0.47704,-1.16656,9.90121
1.3685,-0.54408,-1.06601,9.79108
1.3734,-0.14186,-1.08995,9.69052
1.3780,0.22684,-0.71646,9.86290
1.3820,-0.49620,-0.78828,9.91557
1.3865,-0.40521,-0.65421,9.80066
1.3913,-0.51535,-0.65900,10.08797
1.3954,-0.63506,-0.64943,10.05923
1.3995,-0.82181,-0.76434,10.10233
