time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
0.6450,-0.00627,-0.01103,0.00043
0.6493,0.00438,0.00175,-0.00383
0.6554,0.00970,0.01559,0.00150
0.6589,-0.00095,0.00069,-0.00171
0.6631,0.00012,0.00069,0.00255
0.6675,-0.00095,0.00494,-0.00278
0.6724,0.00543,0.00494,-0.00064
0.6812,0.00333,-0.00357,0.00574
0.6813,-0.00095,-0.00357,0.00467
0.6987,-0.00414,-0.00357,0.00043
0.6987,0.00012,-0.00250,0.00150
0.6987,0.00012,-0.00464,-0.00064
0.7030,0.00119,-0.00571,-0.00490
0.7030,0.00012,-0.00357,-0.00597
0.7065,-0.00307,0.00175,-0.00383
0.7105,0.00333,0.00282,-0.00597
0.7151,-0.00414,-0.00038,-0.00064
0.7201,0.00012,0.00601,0.00255
0.7233,-0.00732,0.00920,-0.00703
0.7282,0.00543,-0.00145,0.00574
0.7326,0.00333,0.00388,-0.00064
0.7379,-0.00095,-0.00038,-0.00278
0.7418,-0.00095,-0.00145,-0.00064
0.7455,0.00012,-0.00038,0.00467
0.7509,0.00757,0.00282,-0.00278
0.7551,0.00226,-0.00357,0.00043
0.7597,0.00012,0.00069,0.00043
0.7647,-0.00095,0.00175,0.00150
0.7680,0.00119,-0.00038,0.00574
0.7722,0.00650,-0.00464,-0.00810
0.7771,-0.00732,0.00175,-0.00490
0.7812,-0.00095,0.00069,0.00360
0.7868,0.00226,0.01347,0.00255
0.7904,0.00226,-0.00250,0.00255
0.7950,0.00333,0.00601,-0.00171
0.7995,-0.00095,-0.00038,0.00574
0.8050,0.00543,0.00494,0.00255
0.8075,0.00650,0.00494,0.00360
0.8112,-0.00307,0.00175,-0.00171
0.8247,-0.00307,-0.00145,-0.00597
0.8248,0.00226,0.00069,-0.00064
0.8252,0.00119,0.00282,-0.00171
0.8310,0.00438,-0.00357,0.00043
0.8332,0.00012,0.00069,0.00043
0.8376,0.00333,-0.01103,0.00999
0.8421,0.00012,0.00494,-0.00810
0.8465,0.00543,0.00815,-0.00490
0.8516,0.00226,-0.00250,0.00467
0.8550,-0.00200,0.00494,0.00467
0.8595,0.00333,-0.00250,-0.00490
0.8639,0.00012,-0.00250,-0.00490
0.8684,-0.00414,0.00388,0.00043
0.8732,-0.00520,0.00282,0.00255
0.8771,0.00438,0.00815,-0.00278
0.8816,0.00333,0.00388,0.00043
0.8859,-0.00627,0.00282,-0.00064
0.8903,-0.00520,-0.00145,-0.00597
0.8957,-0.00095,-0.00357,-0.00278
0.8995,0.01076,0.00708,0.00893
0.9039,-0.00200,-0.00357,0.00681
0.9079,-0.00095,-0.00357,-0.00383
0.9125,-0.00414,0.00069,0.00043
0.9178,0.00864,0.00708,0.00043
0.9219,-0.00200,0.00069,0.00150
0.9272,0.00226,0.00601,0.00255
0.9351,-0.00095,0.01027,0.00255
0.9358,-0.00414,0.00815,-0.00171
0.9402,-0.00200,-0.00145,0.00043
0.9435,0.00012,0.00494,0.00360
0.9560,-0.00307,0.01027,0.00467
0.9560,0.00012,-0.01103,0.00467
0.9644,-0.00095,0.00388,-0.00597
0.9644,0.00226,0.00175,0.01106
0.9648,0.00012,0.00069,0.00255
0.9718,0.00543,0.00494,-0.00064
0.9743,0.00333,-0.00038,-0.00810
0.9779,0.00438,0.00388,-0.00171
0.9829,0.00333,0.00069,-0.00064
0.9866,-0.00414,0.00069,-0.00383
0.9929,0.00650,-0.00357,-0.00064
0.9958,-0.00200,-0.00038,0.00150
1.0019,0.00119,0.00920,0.00467
1.0051,-0.00095,-0.00145,-0.00064
1.0093,-0.00095,-0.00038,-0.00064
1.0137,0.00438,0.00282,-0.00171
1.0186,0.00119,0.00175,-0.00490
1.0227,-0.00095,0.00175,0.00360
1.0390,0.00333,-0.00038,-0.00490
1.0390,0.00438,-0.00038,0.00043
1.0391,0.00012,-0.00038,-0.00064
1.0403,0.00438,-0.00145,0.00043
1.0440,-0.00095,-0.00571,0.00043
1.0512,0.00543,-0.00145,0.00043
1.0532,0.00543,0.00601,0.00574
1.0614,0.00226,0.00175,-0.00383
1.0641,0.00226,-0.00571,0.00574
1.0667,0.00438,-0.00250,0.00150
1.0728,-0.00732,-0.00250,0.00360
1.0983,-0.00200,-0.01103,0.00255
1.0983,-0.00414,0.00175,0.00574
1.0984,0.00119,-0.00145,-0.00171
1.0984,-0.00095,0.00175,-0.00064
1.0984,0.00438,0.00175,-0.00064
1.0985,0.00226,0.00601,-0.00278
1.1023,-0.00200,-0.01317,-0.00064
1.1056,0.00438,-0.00464,0.00574
1.1101,-0.00414,-0.00145,0.00255
1.1152,-0.00200,-0.00250,0.00150
1.1190,0.00119,-0.00571,0.00043
1.1263,0.00226,-0.00145,0.00681
1.1283,-0.00307,0.00175,0.00255
1.1317,0.00333,-0.00571,-0.00171
1.1376,0.00333,-0.00571,-0.00064
1.1406,0.00012,0.00388,0.00043
1.1449,-0.00732,-0.00357,-0.00171
1.1509,-0.00307,-0.00890,0.00150
1.1547,-0.00200,0.00494,-0.00597
1.1599,-0.00200,0.00175,-0.00278
1.1639,-0.00414,-0.00357,0.00043
1.1681,0.00438,0.00601,-0.00171
1.1719,-0.00095,0.00388,-0.01022
1.1760,-0.00200,0.00494,-0.00171
1.1815,-0.00307,-0.00677,0.00574
1.1882,0.00543,0.00708,0.00150
1.1908,-0.00520,-0.00357,-0.00278
1.1946,-0.00095,-0.00145,-0.00278
1.1999,0.00119,-0.01317,-0.00064
1.2039,0.00012,0.00175,-0.00064
1.2198,0.00012,-0.00571,0.00043
1.2199,0.00757,-0.00784,0.00043
1.2199,0.00012,-0.00996,0.00255
1.2199,-0.00627,-0.00784,0.00043
1.2271,0.00012,-0.01210,-0.00597
1.2280,0.00226,-0.00464,-0.00703
1.2360,-0.00627,-0.00890,-0.00064
1.2368,-0.00307,-0.00571,-0.00278
1.2413,0.00012,0.00494,-0.00064
1.2463,0.00333,-0.00357,-0.00064
1.2509,-0.00095,0.00708,-0.00278
1.2549,0.00226,-0.00784,0.00255
1.2596,0.00119,-0.00464,-0.00810
1.2640,-0.00307,-0.00357,-0.00278
1.2687,0.00543,-0.00145,0.00574
1.2727,-0.00520,-0.00038,0.01213
1.2774,-0.00520,-0.00464,0.00787
1.2814,-0.00839,-0.01210,0.01320
1.2858,0.00012,-0.00250,0.00360
1.2914,0.00012,-0.00357,-0.01022
1.2948,-0.00095,0.00069,-0.02620
1.2993,-0.00095,0.00282,-0.05177
1.3035,-0.00627,0.01347,-0.09012
1.3083,0.00012,0.00175,-0.11781
1.3147,-0.00414,0.00708,-0.14018
1.3167,-0.01053,0.01666,-0.15617
1.3338,-0.00732,0.00920,-0.14658
1.3338,-0.00520,0.00920,-0.13274
1.3339,-0.00839,0.00601,-0.09544
1.3397,0.00119,0.00175,-0.07840
1.3409,-0.00095,0.00069,-0.04752
1.3423,0.00543,-0.00784,-0.03047
1.3478,-0.00732,0.00282,-0.03154
1.3519,-0.00414,-0.00038,-0.02408
1.3565,0.00333,0.00708,-0.03259
1.3598,0.00012,-0.00038,-0.04431
1.3643,-0.00627,0.00601,-0.06029
1.3685,-0.00307,0.00175,-0.06882
1.3734,-0.00095,0.00815,-0.07521
1.3790,0.00757,0.00388,-0.11037
1.3820,-0.00095,-0.01317,-0.12102
1.3865,0.00012,0.00282,-0.12527
1.3913,-0.00414,0.00282,-0.11995
1.3954,0.00012,-0.00890,-0.10397
1.4003,-0.00307,0.00175,-0.07201
1.4042,0.00226,0.00601,-0.04752
1.4090,0.00012,0.01134,-0.02301
1.4132,0.00438,-0.00464,-0.00278
1.4180,-0.00839,-0.00677,0.00999
1.4233,0.00333,0.00388,0.01852
1.4271,0.01289,0.01027,0.01106
1.4315,0.00757,0.00601,-0.00064
1.4360,-0.00095,0.00494,-0.00490
1.4425,0.00543,0.00069,-0.00383
1.4445,0.00970,0.00069,-0.01129
1.4480,0.00119,0.00388,-0.02408
1.4609,-0.00520,-0.00571,-0.03366
1.4609,-0.00307,0.00708,-0.04324
1.4615,-0.00307,0.01241,-0.00383
1.4656,0.00119,0.01134,0.01106
1.4712,-0.00627,0.01241,0.02492
1.4745,-0.00520,-0.00464,0.03983
1.4787,-0.00307,0.00069,0.04834
1.4833,0.00119,-0.00357,0.04622
1.4890,0.00438,0.01454,0.05368
1.4915,-0.00946,0.00069,0.06538
1.4961,0.00012,-0.00357,0.05794
